id,project_slug,cve_id,cwe_id,cwe_name,github_username,github_repository_name,github_tag,github_url,advisory_id,buggy_commit_id,fix_commit_ids
24,DSpace__DSpace_CVE-2022-31194_5.10,CVE-2022-31194,CWE-022,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),DSpace,DSpace,5.1,https://github.com/DSpace/DSpace,GHSA-qp5m-c3m9-8q2p,eca7968be7d6b9f8f5f302c9fc09f8186ed4809e,7569c6374aefeafb996e202cf8d631020eda5f24;d1dd7d23329ef055069759df15cfa200c8e3
25,diffplug__goomph_CVE-2022-26049_3.37.1,CVE-2022-26049,CWE-022,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),diffplug,goomph,3.37.1,https://github.com/diffplug/goomph,GHSA-p2f7-9cv7-jjf6,fe2083196f0d0a75885aea402baaa972254173d5,25f04f67ba62d9a14104bee13a0a0f2517afb8c8
26,testng-team__testng_CVE-2022-4065_7.5,CVE-2022-4065,CWE-022,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),cbeust,testng,7.5,https://github.com/cbeust/testng,GHSA-rc2q-x9mf-w3vf,d8adcef70a9e0b8fcef5eab92ca87a8d398cfb89,9150736cd2c123a6a3b60e6193630859f9f0422b
27,apache__uima-uimaj_CVE-2022-32287_3.3.0,CVE-2022-32287,CWE-022,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),apache,uima-uimaj,3.3.0,https://github.com/apache/uima-uimaj,GHSA-xgqr-5wqw-9fpv,f1f557a415ae38e383bf050587a510211515c21d,1088f615154b385dd163965b8d2ef78e87111ab1
28,keycloak__keycloak_CVE-2022-3782_20.0.1,CVE-2022-3782,CWE-022,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),keycloak,keycloak,20.0.1,https://github.com/keycloak/keycloak,GHSA-g8q8-fggx-9r3q,cce8ee2b1ab7c925bfbb62d8f12a33e93d943040,da8d61616399d5c4e4c470c16dd6b0bd98f2b656
29,hapifhir__org.hl7.fhir.core_CVE-2023-24057_5.6.91,CVE-2023-24057,CWE-022,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),hapifhir,org.hl7.fhir.core,5.6.91,https://github.com/hapifhir/org.hl7.fhir.core,GHSA-jqh6-9574-5x22,7b22d0355b1b12448e50b9cbfe2a8ae63f2ee828,b50aec59124416b7315a49220cfc3999223414cc
30,Graylog2__graylog2-server_CVE-2023-41044_5.1.2,CVE-2023-41044,CWE-022,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Graylog2,graylog2-server,5.1.2,https://github.com/Graylog2/graylog2-server,GHSA-2q4p-f6gf-mqr5,d970230b6f3ecb83e07dd43df56428d1421c40e9,02b8792e6f4b829f0c1d87fcbf2d58b73458b938
31,apache__mina-sshd_CVE-2023-35887_2.9.2,CVE-2023-35887,CWE-022,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),apache,mina-sshd,2.9.2,https://github.com/apache/mina-sshd,GHSA-mjmq-gwgm-5qhm,fbbbb7b6af7fdf1765f297a96dfec3f198f5fd7d,10de190e7d3f9189deb76b8d08c72334a1fe2df0;a61e93035f06bff8fc622ad94870fb773d48b9f0;c20739b43aab0f7bf2ccad982a6cb37b9d5a8a0b
32,codehaus-plexus__plexus-archiver_CVE-2023-37460_4.7.1,CVE-2023-37460,CWE-022,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),codehaus-plexus,plexus-archiver,4.7.1,https://github.com/codehaus-plexus/plexus-archiver,GHSA-wh3p-fphp-9h2m,e7cbadba1b5c78192677da95b355dd790f3a4535,54759839fbdf85caf8442076f001d5fd64e0dcb2
33,codehaus-plexus__plexus-utils_CVE-2022-4244_3.0.23,CVE-2022-4244,CWE-022,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),codehaus-plexus,plexus-utils,3.0.23,https://github.com/codehaus-plexus/plexus-utils,GHSA-g6ph-x5wf-g337,6176f91bb843eecddac857591ed20bda38e01470,33a2853df8185b4519b1b8bfae284f03392618ef
34,yamcs__yamcs_CVE-2023-45278_5.8.6,CVE-2023-45278,CWE-022,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),yamcs,yamcs,5.8.6,https://github.com/yamcs/yamcs,GHSA-43fw-536j-w37j,ba2eea1c9bcd8d5bb1794eb6dacb063bf91890f0,b6db35e432e62fdff0447cf513369f0b8a848abf
35,yamcs__yamcs_CVE-2023-45277_5.8.6,CVE-2023-45277,CWE-022,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),yamcs,yamcs,5.8.6,https://github.com/yamcs/yamcs,GHSA-w4m2-qmh3-2g8f,ba2eea1c9bcd8d5bb1794eb6dacb063bf91890f0,b6db35e432e62fdff0447cf513369f0b8a848abf
36,apache__sling-org-apache-sling-servlets-resolver_CVE-2024-23673_2.10.0,CVE-2024-23673,CWE-022,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),apache,sling-org-apache-sling-servlets-resolver,2.10.0,https://github.com/apache/sling-org-apache-sling-servlets-resolver,GHSA-h2rq-qhr7-53gm,cb80c5e80144fcd9f6ac283ffb564f3b863cfbb2,b54d4e6693e0bcd63a97a0328f4f065b8a81b75e
37,DSpace__DSpace_CVE-2025-53622_dspace-7.6.3,CVE-2025-53622,CWE-022,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),DSpace,DSpace,dspace-7.6.3,https://github.com/DSpace/DSpace,GHSA-vhvx-8xgc-99wf,4da8ed69f44786dc33a3dd9a62ee719a51a4830e,3163ff8b1ea0abe09683a1a94fb5f5bb039983b3
38,SimpleHelp__SimpleHelp_CVE-2024-57727_5.5.7,CVE-2024-57727,CWE-022,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),SimpleHelp,SimpleHelp,5.5.7,,GHSA-x84r-h282-g729,https://medium.com/@unKnOwn37/simplehelp-cve-2024-57727-tryhackme-3bea119c1c1e,
39,opensolon__solon_CVE-2025-46096_3.1.2,CVE-2025-46096,CWE-022,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),opensolon,solon,3.1.2,https://github.com/opensolon/solon,GHSA-m63q-4hr8-5r5h,4fa2b0eb5d84ec11eb2c62fc5f809a2f79705e8a,49a3bf95fdcf050829843004b65a2b336ca6ddff
40,jmix-framework__jmix_CVE-2025-32950_2.0.0,CVE-2025-32950,CWE-022,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),jmix-framework,jmix,2.0.0,https://github.com/jmix-framework/jmix,GHSA-jx4g-3xqm-62vh,589855d1261df79199b81e955791173500e070f9,6a66aa3adb967159a30d703e80403406f4c8f7a2;c589ef4e2b25620770b8036f4ad05f1a6250cb6a;cc97e6ff974b9e7af8160fab39cc5866169daa37;f4e6fb05bd245cf36f3e9319aaa0fcd540d024aa
41,deepjavalibrary__djl_CVE-2025-0851_0.30.0,CVE-2025-0851,CWE-022,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),deepjavalibrary,djl,0.30.0,https://github.com/deepjavalibrary/djl,GHSA-jcrp-x7w3-ffmg,faaf4be2be36ad8a51d3395384095f03b1f83b3d,7415cc5f72aae69ea9716a5e4f709af03a77a619
42,gaul__s3proxy_CVE-2025-24961_2.5.0,CVE-2025-24961,CWE-022,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),gaul,s3proxy,2.5.0,https://github.com/gaul/s3proxy,GHSA-2ccp-vqmv-4r4x,1e110a3c0288f697a064713570a71881ef2c0ff7,86b6ee4749aa163a78e7898efc063617ed171980
43,apache__dolphinscheduler_CVE-2022-34662_2.0.9,CVE-2022-34662,CWE-022,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),apache,dolphinscheduler,2.0.9,https://github.com/apache/dolphinscheduler,GHSA-fp35-xrrr-3gph,23302054559410093573fb169336bafeb02db97f,63f835715f8ca8bff79c0e7177ebfa5917ebb3bd
44,apache__camel_CVE-2018-8041_2.20.3,CVE-2018-8041,CWE-022,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),apache,camel,2.20.3,https://github.com/apache/camel,GHSA-jv74-f9pj-xp3f,32bfda73ddd1ea8576bcb53dac496af9e0825f1a,4580e4d6c65cfd544c1791c824b5819477c583cc;4f401c09d22c45c94fa97746dc31905e06b19e3;63c7c080de4d18f9ceb25843508710df2c2c6d4;a0d25d9582c6ee85e9567fa39413df0b4f02ef7
45,joniles__mpxj_CVE-2024-49771_8.3.5,CVE-2024-49771,CWE-022,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),joniles,mpxj,8.3.5,https://github.com/joniles/mpxj,GHSA-j945-c44v-97g6,b0c789d136a174888d0cb41b706603df2c795676,8002802890dfdc8bc74259f37e053e15b827eea0
46,h2oai__h2o-3_CVE-2024-8616_3.44.0.3,CVE-2024-8616,CWE-073,External Control of File Name or Path,h2oai,h2o-3,3.44.0.3,https://github.com/h2oai/h2o-3,GHSA-g48v-3p35-88jr,3f9977a3972e857f0ffb7b1925c75f972f9a07b1,https://github.com/h2oai/h2o-3/blob/088190f9d0370a02a483fca68d8dc89c996b4f83/h2o-core/src/main/java/water/api/ModelsHandler.java#L310
47,unclebob__fitnesse_CVE-2024-28125_20240707,CVE-2024-28125,CWE-078,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),unclebob,fitnesse,20240707,https://github.com/unclebob/fitnesse,GHSA-x9r9-48rm-4xm6,19ac94233da164218c84ed38f53a6993d34cf503,
48,apache__hadoop_CVE-2022-25168_3.3.0,CVE-2022-25168,CWE-078,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),apache,hadoop,3.3.0,https://github.com/apache/hadoop,GHSA-8wm5-8h9c-47pc,df2ae271ccfbd562f9132d5ba795e638d38cb04a,cae749b076f35f0be13a926ee8cfbb7ce4402746
49,x-stream__xstream_CVE-2013-7285_1.4.6,CVE-2013-7285,CWE-078,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),x-stream,xstream,1.4.6,https://github.com/x-stream/xstream,GHSA-f554-x222-wgf7,768c6e417a75e7732fc591bee844e5e81af56a7d,6344867dce6767af7d0fe34fb393271a6456672d
50,jenkinsci__workflow-cps-plugin_CVE-2022-25173_2646.v6ed3b5b01ff1,CVE-2022-25173,CWE-078,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),jenkinsci,workflow-cps-plugin,2646.v6ed3b5b01ff1,https://github.com/jenkinsci/workflow-cps-plugin,GHSA-4m7p-55jm-3vwv,6ed3b5b01ff16dc4f6f9f4b209dbc21394b13913,f7ae7b75a457976853539bff1db52373b85fdb85
51,jenkinsci__workflow-cps-global-lib-plugin_CVE-2022-25174_544.vff04fa68714d,CVE-2022-25174,CWE-078,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),jenkinsci,workflow-cps-global-lib-plugin,544.vff04fa68714d,https://github.com/jenkinsci/workflow-cps-global-lib-plugin,GHSA-g9fx-6j5c-grmw,ff04fa68714d2cc277e8a87512461bdf3a39e186,ace0de3c2d691662021ea10306eeb407da6b6365
52,jenkinsci__workflow-multibranch-plugin_CVE-2022-25175_706.vd43c65dec013,CVE-2022-25175,CWE-078,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),jenkinsci,workflow-multibranch-plugin,706.vd43c65dec013,https://github.com/jenkinsci/workflow-multibranch-plugin,GHSA-pj84-qjm3-77mg,d43c65dec013812b084fecbb4a310d856eb6b89a,71c3f0a6ccdb2ba43f43686826b0d62160df85e8
53,codehaus-plexus__plexus-utils_CVE-2017-1000487_3.0.15,CVE-2017-1000487,CWE-078,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),codehaus-plexus,plexus-utils,3.0.15,https://github.com/codehaus-plexus/plexus-utils,GHSA-8vhq-qq4p-grq3,3b271b43f9e5021b4232fc2ffdfb4e469c7f8685,b38a1b3a4352303e4312b2bb601a0d7ec6e28f41
54,jenkinsci__git-client-plugin_CVE-2019-10392_2.8.4,CVE-2019-10392,CWE-078,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),jenkinsci,git-client-plugin,2.8.4,https://github.com/jenkinsci/git-client-plugin,GHSA-hw6x-2qwv-rxr7,72add81da4cbeabc95504ebdb9007d47ac1c2b0b,899123fa2eb9dd2c37137aae630c47c6be6b4b02
55,jenkinsci__perfecto-plugin_CVE-2020-2261_1.17,CVE-2020-2261,CWE-078,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),jenkinsci,perfecto-plugin,1.17,https://github.com/jenkinsci/perfecto-plugin,GHSA-jq84-6fmm-6qv6,adabcd9da98628e063bb91198e30ff39a34dc921,52c09ad2e26416211e4009b095c4f16508b27b8a
56,apache__nifi_CVE-2022-33140_1.16.2,CVE-2022-33140,CWE-078,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),apache,nifi,1.16.2,https://github.com/apache/nifi,GHSA-77hf-23pq-2g7c,06f04958272dafc30ce357c4c4edcaf470050b52,a1306a19f78e11c2d809e9aef24336669461403a
57,jenkinsci__script-security-plugin_CVE-2023-24422_1228.vd93135a_2fb_25,CVE-2023-24422,CWE-078,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),jenkinsci,script-security-plugin,1228.vd93135a_2fb_25,https://github.com/jenkinsci/script-security-plugin,GHSA-76qj-9gwh-pvv3,d93135a2fb250c04cc361b0bb1efd809bc63ad08,4880bbe905a6783d80150c8b881d0127430d4a73
58,apache__storm_CVE-2021-38294_2.0.0,CVE-2021-38294,CWE-078,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),apache,storm,2.0.0,https://github.com/apache/storm,GHSL-2021-085,2ba95bbd1c911d4fc6363b1c4b9c4c6d86ac9aae,aa67da56da0e21506624ea9ad12b35b630d28dc8
59,larsga__Duke_CVE-2023-39013_1.2,CVE-2023-39013,CWE-074,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),larsga,Duke,1.2,https://github.com/larsga/Duke,GHSA-p83q-99rc-vfmv,7faaa5155db337c776375cc1d0596b103d3dc3c2,https://github.com/larsga/Duke/issues/273
60,apache__sling-org-apache-sling-jcr-base_CVE-2023-25141_3.1.0,CVE-2023-25141,CWE-074,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),apache,sling-org-apache-sling-jcr-base,3.1.0,https://github.com/apache/sling-org-apache-sling-jcr-base,GHSA-gvg3-83q4-rfhq,beac20f604ae8bc7ad5aaa53e8ce31de1c4d159e,6ed0a030fd5f13774aff0073c55cbe3ace0153cb
61,apache__karaf_CVE-2022-40145_4.4.0,CVE-2022-40145,CWE-074,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),apache,karaf,4.4.0,https://github.com/apache/karaf,GHSA-c2p4-8mvv-rwmv,7ae1614dc92173612af82ad1ddc81d7c671744ff,3819f4834192f0f38f5ffef1ca8ea165a80eb8f0
62,apache__flume_CVE-2022-34916_1.10.0,CVE-2022-34916,CWE-074,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),apache,flume,1.10.0,https://github.com/apache/logging-flume,GHSA-h9mh-mgpv-gqmv,5cf133991d664819161c72ace587803a8afd06cf,7fe9af49c485756e1b618493a5bc00b70d7fbd2d
63,rhuss__jolokia_CVE-2018-1000130_1.3.7,CVE-2018-1000130,CWE-074,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),rhuss,jolokia,1.3.7,https://github.com/rhuss/jolokia,GHSA-rhqj-4pp8-vvgf,62063241d69071cbb0f2de400e55e03e182d48f0,1b360b8889f0ed51165a8d1ac55dd8e0aa2dfd4a
64,apache__synapse_CVE-2017-15708_3.0.0,CVE-2017-15708,CWE-502,Deserialization of Untrusted Data,apache,synapse,3.0.0,https://github.com/apache/synapse,GHSA-p694-23q3-rvrc,dee3c038fc717ce016e1e7031354fbf8d92f967f,
65,adobe__coldfusion_CVE-2019-7091_11_Update_15,CVE-2019-7091,CWE-502,Deserialization of Untrusted Data,adobe,coldfusion,11_Update_15,https://github.com/adobe/coldfusion,GHSA-gfjx-jxq2-c44v,https://www.secrss.com/articles/8362,
66,apache__solr_CVE-2019-0192_6.0.0,CVE-2019-0192,CWE-502,Deserialization of Untrusted Data,apache,solr,6.0.0,https://github.com/apache/solr,GHSA-xhcq-fv7x-grr2,6b8fec656361e37492e137ac61fd37c0e60b070d,
67,apache__activemq_CVE-2023-46604_5.16.0,CVE-2023-46604,CWE-502,Deserialization of Untrusted Data,apache,activemq,5.16.0,https://github.com/apache/activemq,GHSA-crg9-44h2-xw35,86dd78b1aa64cbf0af15669c0e4af62dfae0d158,80089f9f476afab7d976f5fc37c5ab4aa0c2139d;22442b2385b1000312aec3d19e510131d595a5fc;958330df26cf3d5cdb63905dc2c6882e98781d8f;9905e2a5bf9862a049f94ce0a2465b0c7ad52436;d0ccdd31544ada83185554c87c7aa141064020f0
68,apache__shiro_CVE-2016-4437_1.2.4,CVE-2016-4437,CWE-284,Improper Access Control,apache,shiro,1.2.4,https://github.com/apache/shiro,GHSA-p836-389h-j692,41b7830c81b1bd1986ba160cb40d923e44581f51,64d9f8341e1aa7ef1a29744e16ea7c578ca5deee
69,apache__logging-log4j2_CVE-2021-44228_2.14.0,CVE-2021-44228,CWE-502,Deserialization of Untrusted Data,apache,logging-log4j2,2.14.0,https://github.com/apache/logging-log4j2,GHSA-jfh8-c2jp-5v3q,4ab25b92de43e4786c8e2da8c8379a0d69771961,https://github.com/apache/logging-log4j2/pull/608
70,powsybl__powsybl-core_CVE-2025-47771_6.7.1,CVE-2025-47771,CWE-502,Deserialization of Untrusted Data,powsybl,powsybl-core,6.7.1,https://github.com/powsybl/powsybl-core,GHSA-f5cx-h789-j959,d8398f689a5ccd505bd62eee2bd6670a29133110,8ed16ce41683c4aef5f6aa1dd5ae8642aa5ed2bd
71,apache__jmeter_CVE-2018-1297_3.0.0,CVE-2018-1297,CWE-502,Deserialization of Untrusted Data,apache,jmeter,3.0.0,https://github.com/apache/jmeter,GHSA-7v85-6hv2-rwgw,ab1b9a0342d02c1ead42bccf2eb1227a3d21dcc1,ab1b9a0342d02c1ead42bccf2eb1227a3d21dcc1
72,h2oai__h2o-3_CVE-2025-6544_3.46.0.7,CVE-2025-6544,CWE-502,Deserialization of Untrusted Data,h2oai,h2o-3,3.46.0.7,https://github.com/h2oai/h2o-3,GHSA-5w3j-gwgh-4rfv,479065fe4d09bf8f364b6cab45b54f9324ee1c1d,0298ee348f5c73673b7b542158081e79605f5f25
