CWE ID,CVE,Author,Package,Tag,Recall,Alerts,Paths,TP Alerts,TP Paths,Precision,F1
CWE-502,CVE-2023-31890,glazedlists,glazedlists,1.11.0,None,None,None,None,None,N/A,N/A
CWE-611,CVE-2025-53621,DSpace,DSpace,dspace-7.6.3,1,309,60,3,5,0.0097,0.0192
CWE-611,CVE-2018-8026,apache,solr,6.0.0,None,None,None,None,None,N/A,N/A
CWE-611,CVE-2017-5661,apache,xmlgraphics-fop,2.1,None,None,None,None,None,N/A,N/A
CWE-611,CVE-2025-53689,apache,jackrabbit,2.22.0,0,447,49,0,0,0,0
CWE-611,CVE-2024-52807,HL7,fhir-ig-publisher,1.7.3,0,426,187,0,0,0,0
CWE-611,CVE-2024-36522,apache,wicket,9.0.0,0,47,3,0,0,0,0
CWE-611,CVE-2025-47293,powsybl,powsybl-core,6.7.1,0,67,4,0,0,0,0
CWE-611,CVE-2025-52888,allure-framework,allure2,2.34.0,0,17,2,0,0,0,0
CWE-611,CVE-2024-52007,hapifhir,org.hl7.fhir.core,5.6.91,0,0,0,0,0,N/A,0
CWE-611,CVE-2024-51132,hapifhir,org.hl7.fhir.core,5.6.91,0,0,0,0,0,N/A,0
CWE-611,CVE-2024-28168,apache,xmlgraphics-fop,2.9,1,79,52,7,19,0.0886,0.1628
CWE-611,CVE-2021-47621,classgraph,classgraph,4.8.111,0,11,1,0,0,0,0
CWE-611,CVE-2020-36641,gturri,aXMLRPC,1.12.0,0,2,0,0,0,0,0
CWE-611,CVE-2023-41034,eclipse-leshan,leshan,2.0.0-M1,None,None,None,None,None,N/A,N/A
CWE-611,CVE-2021-23792,haraldk,TwelveMonkeys,3.7.0,0,13,0,0,0,0,0
CWE-918,CVE-2024-47883,OpenRefine,simile-butterfly,1,1,5,8,2,6,0.4,0.5714
CWE-918,CVE-2023-51441,apache,axis-axis1-java,1.3,0,267,225,0,0,0,0
CWE-918,CVE-2024-39954,apache,eventmesh,1.6.0-release,0,21,2,0,0,0,0
CWE-918,CVE-2023-48240,xwiki,xwiki-platform,11.11.0,0,296,39,0,0,0,0
CWE-918,CVE-2020-21122,youseries,ureport,2.2.9,None,None,None,None,None,N/A,N/A
CWE-918,CVE-2019-10686,ctripcorp,apollo,1.3.0,0,7,0,0,0,0,0
CWE-918,CVE-2024-40625,geoserver,geoserver,2.25.0,None,None,None,None,None,N/A,N/A
CWE-918,CVE-2024-12801,qos-ch,logback,1.4.0,0,2,0,0,0,0,0
CWE-918,CVE-2023-48910,microcks,microcks,1.7.0,0,58,24,0,0,0,0
CWE-918,CVE-2023-46502,opencrx,opencrx,5.2.0,None,None,None,None,None,N/A,N/A
CWE-918,CVE-2022-41401,OpenRefine,OpenRefine,3.5.2,None,None,None,None,None,N/A,N/A
